@tasks 10
T0 2 1(222) 7(121)
T1 2 2(180) 4(243)
T2 2 3(67) 9(25)
T3 1 6(147)
T4 1 5(123)
T5 0
T6 0
T7 1 8(70)
T8 0
T9 0
@proc 5
0 0 0 
0 0 0 
87 0 1 
25 0 1 
71 0 1 
@times
33 50 345 950 779 
36 32 925 732 279 
8 56 706 447 528 
41 26 341 127 539 
66 16 947 481 646 
69 31 264 135 258 
40 70 297 710 258 
47 42 837 400 922 
50 66 282 415 603 
52 1 188 712 964 
@cost
818 563 23 83 36 
655 954 69 21 71 
512 753 19 16 41 
495 738 37 62 47 
593 539 68 93 87 
908 714 56 32 15 
933 861 58 81 17 
688 941 63 80 43 
542 916 31 53 97 
469 661 30 68 65 
@comm 2
CHAN0 84 10 1 1 0 1 1 
CHAN1 75 7 0 1 1 0 0 
